课程名称：     C++计算机程序设计
课程编号：     010502T10
开课单位：     测绘与遥感科学系
授课教师：     潘林
选课人数：     30
**********************************************************************成绩列表************************************************************************
学号                姓名                性别                 班级名称           平时成绩（作业）    平时成绩（实验）    平时成绩（报告）    考试成绩            
0107170101          张代珊              女                  遥感1701            95                  95                  100                 77.5                
0107170102          潜玮程              男                  遥感1701            70                  70                  82.5                76.5                
0107170103          星菱                女                  遥感1701            85                  80                  87.5                85                  
0107170104          董秋翠              女                  遥感1701            88                  85                  85                  85.5                
0107170105          檀迈                男                  遥感1701            80                  82.5                82.5                61.5                
0107170106          纳喇晨风            男                  遥感1701            72.5                80                  95                  85.5                
0107170107          次凡白              男                  遥感1701            85                  97.5                85                  88.5                
0107170108          完清婉              女                  遥感1701            100                 92.5                95                  55.5                
0107170109          姚寻巧              女                  遥感1701            100                 85                  94                  93.5                
0107170110          北承教              男                  遥感1701            100                 85                  97.5                85                  
0207170101          蒋龙                男                  测绘1701            90                  90                  90                  80                  
0207170102          沃彤雯              女                  测绘1701            92.5                90                  94                  92.5                
0207170103          东方沙              女                  测绘1701            95                  85                  94                  72                  
0207170104          秦乐安              男                  测绘1701            95                  87.5                91                  91.5                
0207170105          禹高超              男                  测绘1701            95                  87.5                90                  70.5                
0207170106          柔卓                男                  测绘1701            90                  95                  95                  53.5                
0207170107          陀冬莲              女                  测绘1701            85                  85                  81.5                83.5                
0207170108          第平良              男                  测绘1701            85                  80                  95                  78.5                
0207170109          斐秋莲              女                  测绘1701            88                  82.5                87.5                86.5                
0207170110          况康胜              男                  测绘1701            92.5                95                  90                  71.5                
0307170101          蹉仲舒              男                  地信1701            95                  92.5                95                  94.5                
0307170102          丙尔阳              男                  地信1701            95                  95                  92.5                73.5                
0307170103          香阳舒              女                  地信1701            90                  90                  82.5                56.5                
0307170104          淳于双玉            女                  地信1701            90                  95                  95                  93.5                
0306170105          缪雪兰              女                  地信1701            91                  92                  90                  80.5                
0307150106          前乐家              男                  地信1701            75                  73                  87.5                66.5                
0307170107          锐白卉              女                  地信1701            82                  83                  82.5                65                  
0307170108          召华采              男                  地信1701            81                  89                  88                  85.5                
0307170109          司寇静珊            女                  地信1701            85                  81.5                83.5                72.5                
0307170110          云宏义              男                  地信1701            70.5                70                  85                  83.5                
